fecha,BurstId,burst_side,attacked_side,L0,F_C_identity_keys,keys_with_C_identity_sibling,keys_with_equal_F_C_qty,keys_C_less_than_F,keys_C_greater_than_F,keys_with_M_or_C_state_reduction,keys_with_equal_F_state_reduction_qty,fill_qty,cancel_qty,fill_qty_without_identity_sibling,fill_qty_exceeding_sibling_C,cancel_qty_exceeding_sibling_F,modify_state_reduction_qty,cancel_state_reduction_qty,fill_qty_without_state_reduction,state_reduction_qty_exceeding_fill,previous_fill_without_c_qty
2022-11-03,LB_20221103_093349_BUY_0001,BUY,A,10845.75,7,7,7,0,0,7,7,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2023-03-21,LB_20230321_093130_BUY_0001,BUY,A,12800.5,7,7,7,0,0,7,7,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2023-03-28,LB_20230328_093202_SELL_0001,SELL,B,12748.5,11,10,10,0,0,11,11,12.0,11.0,1.0,1.0,0.0,1.0,11.0,0.0,0.0,1.0
2023-04-03,LB_20230403_093250_BUY_0001,BUY,A,13217.5,8,8,8,0,0,8,8,8.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
2023-04-04,LB_20230404_093600_SELL_0001,SELL,B,13269.75,9,8,8,0,0,9,9,9.0,8.0,1.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0
2023-04-19,LB_20230419_093353_SELL_0001,SELL,B,13104.75,6,6,6,0,0,6,6,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2023-04-26,LB_20230426_093201_SELL_0001,SELL,B,12920.75,12,10,10,0,0,10,10,12.0,10.0,2.0,2.0,0.0,0.0,10.0,2.0,0.0,2.0
2023-05-03,LB_20230503_093500_BUY_0001,BUY,A,13209.0,3,3,3,0,0,3,3,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2023-05-11,LB_20230511_093202_SELL_0001,SELL,B,13399.25,42,39,39,0,0,42,42,45.0,41.0,4.0,4.0,0.0,4.0,41.0,0.0,0.0,4.0
2023-05-18,LB_20230518_093436_BUY_0001,BUY,A,13681.0,39,38,38,0,0,38,38,39.0,38.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,1.0
2023-05-22,LB_20230522_093356_BUY_0001,BUY,A,13875.25,36,35,35,0,0,36,36,36.0,35.0,1.0,1.0,0.0,1.0,35.0,0.0,0.0,1.0
2023-05-26,LB_20230526_093357_BUY_0001,BUY,A,14044.75,51,51,51,0,0,51,51,54.0,54.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0
2023-05-31,LB_20230531_093156_BUY_0001,BUY,A,14348.25,3,3,3,0,0,3,3,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2023-06-05,LB_20230605_093500_BUY_0001,BUY,A,14611.0,18,18,18,0,0,18,18,18.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
2023-06-22,LB_20230622_093240_BUY_0001,BUY,A,14999.75,2,2,2,0,0,2,2,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2023-06-23,LB_20230623_093159_BUY_0001,BUY,A,15060.75,10,9,9,0,0,10,10,13.0,12.0,1.0,1.0,0.0,1.0,12.0,0.0,0.0,1.0
2023-06-30,LB_20230630_093123_BUY_0001,BUY,A,15258.75,2,2,2,0,0,2,2,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2023-07-18,LB_20230718_093258_SELL_0002,SELL,B,15779.25,21,20,20,0,0,21,21,23.0,22.0,1.0,1.0,0.0,1.0,22.0,0.0,0.0,1.0
2023-07-20,LB_20230720_093345_SELL_0001,SELL,B,15870.0,3,2,2,0,0,3,3,6.0,5.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0
2023-07-27,LB_20230727_093300_BUY_0001,BUY,A,15852.0,12,11,11,0,0,12,12,14.0,13.0,1.0,1.0,0.0,1.0,13.0,0.0,0.0,1.0
2023-08-08,LB_20230808_093726_SELL_0001,SELL,B,15349.75,6,6,6,0,0,6,6,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
2023-08-24,LB_20230824_093139_SELL_0001,SELL,B,15300.25,36,35,35,0,0,35,35,40.0,39.0,1.0,1.0,0.0,0.0,39.0,1.0,0.0,1.0
2023-08-25,LB_20230825_093257_BUY_0001,BUY,A,14933.0,3,3,3,0,0,3,3,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2023-08-29,LB_20230829_093105_SELL_0001,SELL,B,15072.0,3,3,3,0,0,3,3,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2023-08-31,LB_20230831_093357_BUY_0001,BUY,A,15551.75,5,5,5,0,0,5,5,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2023-09-05,LB_20230905_093500_SELL_0002,SELL,B,15456.25,5,5,5,0,0,5,5,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2023-09-07,LB_20230907_093117_SELL_0001,SELL,B,15181.0,7,7,7,0,0,7,7,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2023-09-14,LB_20230914_093127_SELL_0001,SELL,B,15602.25,17,17,17,0,0,17,17,17.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
2023-09-15,LB_20230915_093253_SELL_0001,SELL,B,15585.75,19,18,18,0,0,19,19,19.0,18.0,1.0,1.0,0.0,1.0,18.0,0.0,0.0,1.0
2023-09-19,LB_20230919_093101_SELL_0001,SELL,B,15330.0,38,37,37,0,0,37,37,40.0,39.0,1.0,1.0,0.0,0.0,39.0,1.0,0.0,1.0
2023-09-22,LB_20230922_093553_SELL_0001,SELL,B,14908.25,5,5,5,0,0,5,5,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2023-09-26,LB_20230926_093118_SELL_0002,SELL,B,14817.0,11,11,11,0,0,11,11,11.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
2023-09-27,LB_20230927_093102_BUY_0001,BUY,A,14777.25,14,14,14,0,0,14,14,14.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
2023-10-02,LB_20231002_093150_BUY_0001,BUY,A,14879.5,3,3,3,0,0,3,3,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2023-10-16,LB_20231016_093102_BUY_0001,BUY,A,15190.25,33,33,33,0,0,33,33,33.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
2023-10-27,LB_20231027_093329_BUY_0001,BUY,A,14345.0,11,11,11,0,0,11,11,11.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
2023-11-02,LB_20231102_093203_SELL_0001,SELL,B,14908.25,12,12,12,0,0,12,12,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
2024-03-18,LB_20240318_093121_BUY_0001,BUY,A,18299.75,31,31,31,0,0,31,31,31.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0
2024-04-02,LB_20240402_093358_SELL_0002,SELL,B,18265.0,24,22,22,0,0,24,24,27.0,25.0,2.0,2.0,0.0,2.0,25.0,0.0,0.0,2.0
2024-04-04,LB_20240404_093500_BUY_0001,BUY,A,18552.75,11,9,9,0,0,11,11,12.0,10.0,2.0,2.0,0.0,2.0,10.0,0.0,0.0,2.0
2024-04-05,LB_20240405_093248_SELL_0001,SELL,B,18150.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,LB_20240409_093342_SELL_0001,SELL,B,18377.75,36,36,36,0,0,36,36,36.0,36.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0
2024-04-17,LB_20240417_093502_SELL_0001,SELL,B,17922.5,28,28,28,0,0,28,28,29.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0
2024-04-18,LB_20240418_093109_SELL_0001,SELL,B,17659.75,15,14,14,0,0,15,15,15.0,14.0,1.0,1.0,0.0,1.0,14.0,0.0,0.0,1.0
2024-04-23,LB_20240423_093145_BUY_0001,BUY,A,17444.75,9,9,9,0,0,9,9,9.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
2024-04-26,LB_20240426_093151_SELL_0001,SELL,B,17674.25,6,6,6,0,0,6,6,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
2024-05-02,LB_20240502_093112_SELL_0001,SELL,B,17570.0,13,9,8,1,0,12,11,23.0,9.0,9.0,14.0,0.0,5.0,9.0,9.0,0.0,14.0
2024-05-03,LB_20240503_093157_SELL_0001,SELL,B,17936.5,10,10,10,0,0,10,10,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2024-05-10,LB_20240510_093420_BUY_0001,BUY,A,18301.0,9,8,8,0,0,9,9,9.0,8.0,1.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0
2024-05-20,LB_20240520_093220_BUY_0001,BUY,A,18661.5,1,0,0,0,0,1,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2024-05-28,LB_20240528_093142_BUY_0001,BUY,A,18935.25,31,30,30,0,0,31,31,32.0,31.0,1.0,1.0,0.0,1.0,31.0,0.0,0.0,1.0
2024-06-05,LB_20240605_093547_SELL_0002,SELL,B,18817.25,13,12,12,0,0,12,12,15.0,12.0,3.0,3.0,0.0,0.0,12.0,3.0,0.0,3.0
2024-06-06,LB_20240606_093413_BUY_0001,BUY,A,19107.0,5,5,5,0,0,5,5,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2024-06-11,LB_20240611_093350_BUY_0001,BUY,A,19073.5,21,19,19,0,0,21,21,21.0,19.0,2.0,2.0,0.0,2.0,19.0,0.0,0.0,2.0
2024-06-13,LB_20240613_093209_BUY_0001,BUY,A,19647.25,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14,LB_20240614_093644_BUY_0001,BUY,A,19586.75,22,21,21,0,0,22,22,23.0,22.0,1.0,1.0,0.0,1.0,22.0,0.0,0.0,1.0
2024-07-08,LB_20240708_093223_BUY_0001,BUY,A,20642.75,1,1,1,0,0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-07-12,LB_20240712_093101_BUY_0001,BUY,A,20469.5,16,16,16,0,0,16,16,16.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
2024-07-16,LB_20240716_093212_BUY_0001,BUY,A,20660.25,12,12,12,0,0,12,12,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
2024-07-18,LB_20240718_093155_SELL_0001,SELL,B,20112.0,11,11,11,0,0,11,11,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
2024-07-22,LB_20240722_093156_SELL_0001,SELL,B,19899.0,15,15,15,0,0,15,15,15.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
2024-07-26,LB_20240726_093346_SELL_0001,SELL,B,19116.75,4,4,4,0,0,4,4,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2024-07-30,LB_20240730_093638_BUY_0001,BUY,A,19300.0,1,1,1,0,0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-08-08,LB_20240808_093753_SELL_0001,SELL,B,18164.25,7,7,7,0,0,7,7,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2024-08-13,LB_20240813_093126_BUY_0001,BUY,A,18850.75,3,3,3,0,0,3,3,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2024-08-14,LB_20240814_093352_SELL_0001,SELL,B,19116.5,2,2,2,0,0,2,2,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
