CaseID,amd3_stable_core,claude_perturbation2,codex_perturbation2,perturbation2_consensus,in_primary_denominator,primary_flip,information_status
HB071,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB072,C,A,A,A,false,false,AMD3_STABILITY_NO_OUTCOME
HB073,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB074,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB075,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB076,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB077,C,C,A,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB078,C,A,A,A,false,false,AMD3_STABILITY_NO_OUTCOME
HB079,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB080,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB081,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB082,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB083,C,C,A,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB084,A,C,A,C,true,true,AMD3_STABILITY_NO_OUTCOME
HB085,C,C,A,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB086,C,A,A,A,false,false,AMD3_STABILITY_NO_OUTCOME
HB087,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB088,A,A,A,A,true,false,AMD3_STABILITY_NO_OUTCOME
HB089,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB090,C,B,B,B,false,false,AMD3_STABILITY_NO_OUTCOME
HB091,A,A,A,A,true,false,AMD3_STABILITY_NO_OUTCOME
HB092,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB093,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB094,C,C,A,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB095,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB096,A,A,C,C,true,true,AMD3_STABILITY_NO_OUTCOME
HB097,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB098,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
