CaseID,original_consensus,claude_perturbed,codex_perturbed,new_consensus,in_primary_denominator,primary_flip,information_status
HB072,C,A,A,A,false,false,AMD2_STABILITY_NO_OUTCOME
HB073,C,C,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB074,C,C,B,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB075,C,C,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB076,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB077,A,A,C,C,true,true,AMD2_STABILITY_NO_OUTCOME
HB078,C,A,A,A,false,false,AMD2_STABILITY_NO_OUTCOME
HB079,C,C,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB080,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB081,C,A,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB082,C,C,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB083,C,A,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB084,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB085,C,A,A,A,false,false,AMD2_STABILITY_NO_OUTCOME
HB086,A,A,C,C,true,true,AMD2_STABILITY_NO_OUTCOME
HB087,C,C,B,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB088,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB089,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB090,B,C,B,C,true,true,AMD2_STABILITY_NO_OUTCOME
HB091,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB092,C,C,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB093,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB094,A,A,C,C,true,true,AMD2_STABILITY_NO_OUTCOME
HB095,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB096,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB097,C,A,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB098,C,C,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
