family_a,family_b,pairs,median_abs_spearman,p90_abs_spearman,redundant_pairs_ge_0_90
EFFORT_VS_RESULT,TIME_REGIME,22,0.10492121571741503,0.1992284411233165,0
TIME_REGIME,TIME_REGIME,21,0.09836751067448729,0.9998972505969597,3
FLOW_BURST_QUALITY,AUCTION_THEORY,536,0.09813593663456648,0.6171746652335688,0
AUCTION_THEORY,OTHER_CAUSAL_CONTEXT,229,0.0976955338544322,0.35703507479718466,1
TIME_REGIME,FLOW_BURST_QUALITY,43,0.09693509846187728,0.6336772236839804,1
AUCTION_THEORY,TIME_REGIME,126,0.09446638855633786,0.25374379732909014,0
PERSISTENCE_EXHAUSTION,TIME_REGIME,63,0.09230282726411222,0.2025416490066521,5
OTHER_CAUSAL_CONTEXT,FLOW_BURST_QUALITY,81,0.09077085032479562,0.30563508262812933,0
OTHER_CAUSAL_CONTEXT,ACCEPTANCE_RECLAIM,16,0.08891507924175172,0.36686102514545316,0
TEMPORAL_SEQUENCE,FLOW_BURST_QUALITY,48,0.08863140382198195,0.2070161267873968,0
TEMPORAL_SEQUENCE,OTHER_CAUSAL_CONTEXT,30,0.08826450797703432,0.19218541626281838,0
FLOW_BURST_QUALITY,EFFORT_VS_RESULT,104,0.08689731314942789,0.23463461500295923,0
TIME_REGIME,TEMPORAL_SEQUENCE,6,0.08639953994961544,0.11378574664560848,0
OTHER_CAUSAL_CONTEXT,OTHER_CAUSAL_CONTEXT,55,0.08582215217167576,0.3652364141000371,0
FLOW_BURST_QUALITY,OTHER_CAUSAL_CONTEXT,227,0.0855510631926456,0.5777761376235823,8
FLOW_BURST_QUALITY,PERSISTENCE_EXHAUSTION,313,0.0853633712862597,0.7241019130000028,2
FLOW_BURST_QUALITY,TIME_REGIME,153,0.08527645454668803,0.26825459606676977,0
AUCTION_THEORY,EFFORT_VS_RESULT,93,0.08383074238554883,0.3623360840118739,0
OTHER_CAUSAL_CONTEXT,TIME_REGIME,43,0.07615625000441441,0.21982930164079326,0
PERSISTENCE_EXHAUSTION,PERSISTENCE_EXHAUSTION,105,0.07603583289733626,0.8191765156239311,9
AUCTION_THEORY,FLOW_BURST_QUALITY,332,0.07572817364455042,0.38107404431096015,0
ACCEPTANCE_RECLAIM,EFFORT_VS_RESULT,16,0.07519357419660083,0.17326595254875343,0
TEMPORAL_SEQUENCE,ACCEPTANCE_RECLAIM,6,0.0734182437608269,0.09251774400175819,0
TIME_REGIME,ACCEPTANCE_RECLAIM,10,0.07304750196208556,0.42254164683091655,0
PERSISTENCE_EXHAUSTION,ACCEPTANCE_RECLAIM,22,0.07286424613990611,0.16530973749451786,0
AUCTION_THEORY,PERSISTENCE_EXHAUSTION,240,0.07266051224028428,0.2954350716685305,0
TEMPORAL_SEQUENCE,EFFORT_VS_RESULT,15,0.07225684488528067,0.24458286050580103,0
ACCEPTANCE_RECLAIM,FLOW_BURST_QUALITY,40,0.07206524736946003,0.15121330413183506,0
ACCEPTANCE_RECLAIM,OTHER_CAUSAL_CONTEXT,28,0.06777047723863372,0.26125679345674785,0
TIME_REGIME,AUCTION_THEORY,91,0.06481331842927812,0.4473760209359193,0
ACCEPTANCE_RECLAIM,AUCTION_THEORY,58,0.0647696232887047,0.425825358008465,0
FLOW_BURST_QUALITY,ACCEPTANCE_RECLAIM,72,0.06169063413144947,0.17998449118658158,0
TIME_REGIME,PERSISTENCE_EXHAUSTION,42,0.06096411589077544,0.2547365803200744,0
PERSISTENCE_EXHAUSTION,OTHER_CAUSAL_CONTEXT,89,0.06039923106418554,0.7417770748679214,1
TIME_REGIME,EFFORT_VS_RESULT,13,0.054333597026480634,0.12432648210487432,0
ACCEPTANCE_RECLAIM,PERSISTENCE_EXHAUSTION,38,0.05326451061496219,0.12323083305385663,0
FLOW_BURST_QUALITY,TEMPORAL_SEQUENCE,36,0.05306998620429121,0.13519073288572314,0
AUCTION_THEORY,TEMPORAL_SEQUENCE,27,0.041712387651384505,0.14152788021545204,0
PERSISTENCE_EXHAUSTION,EFFORT_VS_RESULT,41,0.040594528235894795,0.7982756698196679,2
PERSISTENCE_EXHAUSTION,TEMPORAL_SEQUENCE,15,0.031500815330414864,0.09738257285313168,0
TEMPORAL_SEQUENCE,TIME_REGIME,15,0.021771749814432906,0.03201401379335576,0
OTHER_CAUSAL_CONTEXT,TEMPORAL_SEQUENCE,3,0.018413199410498862,0.104272683170831,0
