"CaseID","BurstId","year","phase"
"HB043","LB_20230605_093500_BUY_0001","2023","DISCOVERY"
"HB044","LB_20220729_093500_SELL_0001","2022","DISCOVERY"
"HB045","LB_20230630_093123_BUY_0001","2023","DISCOVERY"
"HB046","LB_20240426_093151_SELL_0001","2024","VALIDATION"
"HB047","LB_20240808_093753_SELL_0001","2024","VALIDATION"
"HB048","LB_20230426_093201_SELL_0001","2023","DISCOVERY"
"HB049","LB_20230824_093139_SELL_0001","2023","DISCOVERY"
"HB050","LB_20240814_093352_SELL_0001","2024","VALIDATION"
"HB051","LB_20240613_093209_BUY_0001","2024","VALIDATION"
"HB052","LB_20240712_093101_BUY_0001","2024","VALIDATION"
"HB053","LB_20240718_093155_SELL_0001","2024","VALIDATION"
"HB054","LB_20230328_093202_SELL_0001","2023","DISCOVERY"
"HB055","LB_20230531_093156_BUY_0001","2023","DISCOVERY"
"HB056","LB_20221103_093349_BUY_0001","2022","DISCOVERY"
"HB057","LB_20230623_093159_BUY_0001","2023","DISCOVERY"
"HB058","LB_20240520_093220_BUY_0001","2024","VALIDATION"
"HB059","LB_20220426_093143_SELL_0001","2022","DISCOVERY"
"HB060","LB_20240402_093358_SELL_0002","2024","VALIDATION"
"HB061","LB_20230915_093253_SELL_0001","2023","DISCOVERY"
"HB062","LB_20240405_093248_SELL_0001","2024","VALIDATION"
"HB063","LB_20240606_093413_BUY_0001","2024","VALIDATION"
"HB064","LB_20220928_093328_SELL_0001","2022","DISCOVERY"
"HB065","LB_20240614_093644_BUY_0001","2024","VALIDATION"
"HB066","LB_20221018_093155_SELL_0001","2022","DISCOVERY"
"HB067","LB_20230503_093500_BUY_0001","2023","DISCOVERY"
"HB068","LB_20220801_093127_SELL_0001","2022","DISCOVERY"
"HB069","LB_20240502_093112_SELL_0001","2024","VALIDATION"
"HB070","LB_20230907_093117_SELL_0001","2023","DISCOVERY"
"HB071","LB_20240404_093500_BUY_0001","2024","VALIDATION"
"HB072","LB_20220518_093457_BUY_0001","2022","DISCOVERY"
"HB073","LB_20240418_093109_SELL_0001","2024","VALIDATION"
"HB074","LB_20240716_093212_BUY_0001","2024","VALIDATION"
"HB075","LB_20230511_093202_SELL_0001","2023","DISCOVERY"
"HB076","LB_20240605_093547_SELL_0002","2024","VALIDATION"
"HB077","LB_20230825_093257_BUY_0001","2023","DISCOVERY"
"HB078","LB_20220523_093420_SELL_0001","2022","DISCOVERY"
"HB079","LB_20230831_093357_BUY_0001","2023","DISCOVERY"
"HB080","LB_20230829_093105_SELL_0001","2023","DISCOVERY"
"HB081","LB_20220901_093124_SELL_0002","2022","DISCOVERY"
"HB082","LB_20220427_093500_BUY_0001","2022","DISCOVERY"
"HB083","LB_20240730_093638_BUY_0001","2024","VALIDATION"
"HB084","LB_20230808_093726_SELL_0001","2023","DISCOVERY"
"HB085","LB_20240318_093121_BUY_0001","2024","VALIDATION"
"HB086","LB_20240708_093223_BUY_0001","2024","VALIDATION"
"HB087","LB_20240417_093502_SELL_0001","2024","VALIDATION"
"HB088","LB_20240726_093346_SELL_0001","2024","VALIDATION"
"HB089","LB_20231027_093329_BUY_0001","2023","DISCOVERY"
"HB090","LB_20221025_093119_BUY_0001","2022","DISCOVERY"
"HB091","LB_20240423_093145_BUY_0001","2024","VALIDATION"
"HB092","LB_20230518_093436_BUY_0001","2023","DISCOVERY"
"HB093","LB_20220627_093202_SELL_0001","2022","DISCOVERY"
"HB094","LB_20220406_093100_BUY_0001","2022","DISCOVERY"
"HB095","LB_20230522_093356_BUY_0001","2023","DISCOVERY"
"HB096","LB_20240528_093142_BUY_0001","2024","VALIDATION"
"HB097","LB_20221026_093108_SELL_0002","2022","DISCOVERY"
"HB098","LB_20220815_093300_BUY_0001","2022","DISCOVERY"
