section,segment,metric,value,n
Interaction cohort,REJECTION,mean_realized_r_20_20,0.12195121951219512,41
Interaction cohort,REJECTION,wr_40_40_all,0.4864864864864865,111
Interaction cohort,REJECTION,wr_40_40_resolved,0.6428571428571429,84
Interaction cohort,REJECTION,mean_realized_r_40_40,0.2777777777777778,90
Interaction cohort,REJECTION,wr_60_60_all,0.4144144144144144,111
Interaction cohort,REJECTION,wr_60_60_resolved,0.575,80
Interaction cohort,REJECTION,mean_realized_r_60_60,0.1597222222222222,96
Interaction cohort,REJECTION,wr_80_80_all,0.3063063063063063,111
Interaction cohort,REJECTION,wr_80_80_resolved,0.4927536231884058,69
Interaction cohort,REJECTION,mean_realized_r_80_80,0.006944444444444444,99
Interaction cohort,UNKNOWN_APPROACH,events,2.0,2
Interaction cohort,UNKNOWN_APPROACH,unique_days,2.0,2
Interaction cohort,UNKNOWN_APPROACH,mean_mfe_ticks,,2
Interaction cohort,UNKNOWN_APPROACH,mean_mae_ticks,,2
Interaction cohort,UNKNOWN_APPROACH,wr_20_20_all,0.0,2
Interaction cohort,UNKNOWN_APPROACH,wr_20_20_resolved,,0
Interaction cohort,UNKNOWN_APPROACH,mean_realized_r_20_20,,0
Interaction cohort,UNKNOWN_APPROACH,wr_40_40_all,0.0,2
Interaction cohort,UNKNOWN_APPROACH,wr_40_40_resolved,,0
Interaction cohort,UNKNOWN_APPROACH,mean_realized_r_40_40,,0
Interaction cohort,UNKNOWN_APPROACH,wr_60_60_all,0.0,2
Interaction cohort,UNKNOWN_APPROACH,wr_60_60_resolved,,0
Interaction cohort,UNKNOWN_APPROACH,mean_realized_r_60_60,,0
Interaction cohort,UNKNOWN_APPROACH,wr_80_80_all,0.0,2
Interaction cohort,UNKNOWN_APPROACH,wr_80_80_resolved,,0
Interaction cohort,UNKNOWN_APPROACH,mean_realized_r_80_80,,0
Interaction x shape,ACCEPTANCE|D,events,2.0,2
Interaction x shape,ACCEPTANCE|D,wr_20_20_resolved,0.0,2
Interaction x shape,ACCEPTANCE|D,wr_40_40_resolved,1.0,2
Interaction x shape,ACCEPTANCE|D,wr_60_60_resolved,1.0,2
Interaction x shape,ACCEPTANCE|D,wr_80_80_resolved,1.0,2
Interaction x shape,ACCEPTANCE|double,events,8.0,8
Interaction x shape,ACCEPTANCE|double,wr_20_20_resolved,0.5,2
Interaction x shape,ACCEPTANCE|double,wr_40_40_resolved,0.7142857142857143,7
Interaction x shape,ACCEPTANCE|double,wr_60_60_resolved,0.7142857142857143,7
Interaction x shape,ACCEPTANCE|double,wr_80_80_resolved,0.7142857142857143,7
Interaction x shape,ACCEPTANCE|trend_down,events,25.0,25
Interaction x shape,ACCEPTANCE|trend_down,wr_20_20_resolved,0.3333333333333333,6
Interaction x shape,ACCEPTANCE|trend_down,wr_40_40_resolved,0.5,20
Interaction x shape,ACCEPTANCE|trend_down,wr_60_60_resolved,0.5555555555555556,18
Interaction x shape,ACCEPTANCE|trend_down,wr_80_80_resolved,0.5882352941176471,17
Interaction x shape,ACCEPTANCE|trend_up,events,18.0,18
Interaction x shape,ACCEPTANCE|trend_up,wr_20_20_resolved,0.6666666666666666,9
Interaction x shape,ACCEPTANCE|trend_up,wr_40_40_resolved,0.6666666666666666,15
Interaction x shape,ACCEPTANCE|trend_up,wr_60_60_resolved,0.6,15
Interaction x shape,ACCEPTANCE|trend_up,wr_80_80_resolved,0.6428571428571429,14
Interaction x shape,ACCEPTANCE|unknown,events,27.0,27
Interaction x shape,ACCEPTANCE|unknown,wr_20_20_resolved,0.625,16
Interaction x shape,ACCEPTANCE|unknown,wr_40_40_resolved,0.48,25
Interaction x shape,ACCEPTANCE|unknown,wr_60_60_resolved,0.42857142857142855,21
Interaction x shape,ACCEPTANCE|unknown,wr_80_80_resolved,0.5294117647058824,17
Interaction x shape,REJECTION|double,events,20.0,20
Interaction x shape,REJECTION|double,wr_20_20_resolved,0.5714285714285714,7
Interaction x shape,REJECTION|double,wr_40_40_resolved,0.6363636363636364,11
Interaction x shape,REJECTION|double,wr_60_60_resolved,0.38461538461538464,13
Interaction x shape,REJECTION|double,wr_80_80_resolved,0.4166666666666667,12
Interaction x shape,REJECTION|trend_down,events,39.0,39
Interaction x shape,REJECTION|trend_down,wr_20_20_resolved,0.6153846153846154,13
Interaction x shape,REJECTION|trend_down,wr_40_40_resolved,0.6551724137931034,29
Interaction x shape,REJECTION|trend_down,wr_60_60_resolved,0.6666666666666666,27
Interaction x shape,REJECTION|trend_down,wr_80_80_resolved,0.7083333333333334,24
Interaction x shape,REJECTION|trend_up,events,24.0,24
Interaction x shape,REJECTION|trend_up,wr_20_20_resolved,0.5,12
Interaction x shape,REJECTION|trend_up,wr_40_40_resolved,0.6086956521739131,23
Interaction x shape,REJECTION|trend_up,wr_60_60_resolved,0.5217391304347826,23
Interaction x shape,REJECTION|trend_up,wr_80_80_resolved,0.21052631578947367,19
Interaction x shape,REJECTION|unknown,events,28.0,28
Interaction x shape,REJECTION|unknown,wr_20_20_resolved,0.5555555555555556,9
Interaction x shape,REJECTION|unknown,wr_40_40_resolved,0.6666666666666666,21
Interaction x shape,REJECTION|unknown,wr_60_60_resolved,0.6470588235294118,17
Interaction x shape,REJECTION|unknown,wr_80_80_resolved,0.5714285714285714,14
Interaction x shape,UNKNOWN_APPROACH|trend_up,events,1.0,1
Interaction x shape,UNKNOWN_APPROACH|trend_up,wr_20_20_resolved,,0
Interaction x shape,UNKNOWN_APPROACH|trend_up,wr_40_40_resolved,,0
Interaction x shape,UNKNOWN_APPROACH|trend_up,wr_60_60_resolved,,0
Interaction x shape,UNKNOWN_APPROACH|trend_up,wr_80_80_resolved,,0
Interaction x shape,UNKNOWN_APPROACH|unknown,events,1.0,1
Interaction x shape,UNKNOWN_APPROACH|unknown,wr_20_20_resolved,,0
Interaction x shape,UNKNOWN_APPROACH|unknown,wr_40_40_resolved,,0
Interaction x shape,UNKNOWN_APPROACH|unknown,wr_60_60_resolved,,0
Interaction x shape,UNKNOWN_APPROACH|unknown,wr_80_80_resolved,,0
Monthly,2023-03,events,21.0,21
Monthly,2023-03,unique_days,2.0,21
Monthly,2023-03,wr_20_20_resolved,0.5,8
Monthly,2023-03,wr_40_40_resolved,0.5833333333333334,12
Monthly,2023-03,wr_60_60_resolved,0.38461538461538464,13
Monthly,2023-03,wr_80_80_resolved,0.4444444444444444,9
Monthly,2023-04,events,4.0,4
Monthly,2023-04,unique_days,1.0,4
Monthly,2023-04,wr_20_20_resolved,0.75,4
Monthly,2023-04,wr_40_40_resolved,0.75,4
Monthly,2023-04,wr_60_60_resolved,1.0,4
Monthly,2023-04,wr_80_80_resolved,0.6666666666666666,3
Monthly,2023-05,events,6.0,6
Monthly,2023-05,unique_days,1.0,6
Monthly,2023-05,wr_20_20_resolved,0.3333333333333333,3
Monthly,2023-05,wr_40_40_resolved,0.2,5
Monthly,2023-05,wr_60_60_resolved,0.0,2
Monthly,2023-05,wr_80_80_resolved,0.0,1
Monthly,2023-06,events,24.0,24
Monthly,2023-06,unique_days,7.0,24
Monthly,2023-06,wr_20_20_resolved,0.8333333333333334,6
Monthly,2023-06,wr_40_40_resolved,0.7,20
Monthly,2023-06,wr_60_60_resolved,0.7894736842105263,19
Monthly,2023-06,wr_80_80_resolved,0.7647058823529411,17
Monthly,2023-07,events,24.0,24
Monthly,2023-07,unique_days,7.0,24
Monthly,2023-07,wr_20_20_resolved,0.5714285714285714,7
Monthly,2023-07,wr_40_40_resolved,0.75,16
Monthly,2023-07,wr_60_60_resolved,0.8125,16
Monthly,2023-07,wr_80_80_resolved,0.7333333333333333,15
Monthly,2023-08,events,40.0,40
Monthly,2023-08,unique_days,9.0,40
Monthly,2023-08,wr_20_20_resolved,0.5882352941176471,17
Monthly,2023-08,wr_40_40_resolved,0.6,35
Monthly,2023-08,wr_60_60_resolved,0.5454545454545454,33
Monthly,2023-08,wr_80_80_resolved,0.5333333333333333,30
Monthly,2023-09,events,34.0,34
Monthly,2023-09,unique_days,6.0,34
Monthly,2023-09,wr_20_20_resolved,0.3333333333333333,12
Monthly,2023-09,wr_40_40_resolved,0.48,25
Monthly,2023-09,wr_60_60_resolved,0.3,20
Monthly,2023-09,wr_80_80_resolved,0.3333333333333333,18
Monthly,2023-10,events,40.0,40
Monthly,2023-10,unique_days,11.0,40
Monthly,2023-10,wr_20_20_resolved,0.5789473684210527,19
Monthly,2023-10,wr_40_40_resolved,0.6388888888888888,36
Monthly,2023-10,wr_60_60_resolved,0.5555555555555556,36
Monthly,2023-10,wr_80_80_resolved,0.5151515151515151,33
