CaseID,claude_label,codex_label,consensus_label,information_status
HB051,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB052,C,A,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB053,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB054,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB055,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB056,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB057,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB058,C,A,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB059,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB060,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB061,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB062,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB063,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB064,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB065,A,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB066,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB067,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB068,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB069,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB070,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB071,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB072,A,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB073,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB074,B,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB075,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB076,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB077,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB078,A,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB079,C,A,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB080,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB081,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB082,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB083,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB084,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB085,C,A,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB086,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB087,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB088,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB089,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB090,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB091,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB092,C,A,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB093,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB094,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB095,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB096,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB097,C,A,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB098,C,B,C,AI_CONSENSUS_NO_OUTCOME_AMD2
