feature,source,definition_formula,units,physical_interpretation,feature_timestamp_start_offset_seconds,feature_timestamp_end_offset_seconds,causal_flag,realtime_available,engineered
Signal_To_Entry_Latency_Milliseconds,trade_inputs,entry timestamp-burst availability timestamp,milliseconds,Demora causal entre disponibilidad y entrada simulada.,0,0,1,1,0
Detector_Publish_To_Entry_Latency_Milliseconds,trade_inputs,entry timestamp-detector publish timestamp,milliseconds,Audita que la entrada no preceda a la publicación efectiva.,0,0,1,1,0
Liquidity_Burst_Index_In_Episode,trade_inputs,ordinal burst in frozen 30s episode,count,Dependencia del evento que originó la entrada.,-30,0,1,1,0
Liquidity_Burst_Seconds_Since_Prior_Burst,trade_inputs,seconds from previous burst,seconds,Frescura causal del evento.,-300,0,1,1,0
signed_delta_1s,engineered,burst_sign*Delta1s,contracts,Agresión en dirección del burst.,-1,0,1,1,1
signed_delta_change_1s,engineered,burst_sign*DeltaChange1s,contracts,Aceleración de agresión dirigida.,-2,0,1,1,1
signed_velocity_1s,engineered,burst_sign*Velocity1s,ticks/s,Velocidad en dirección del burst.,-1,0,1,1,1
signed_velocity_3s,engineered,burst_sign*Velocity3s,ticks/s,Persistencia de velocidad dirigida.,-3,0,1,1,1
signed_acceleration_1s,engineered,burst_sign*Acceleration1s,ticks/s2,Aceleración dirigida del precio.,-2,0,1,1,1
price_impact_per_100_contracts,engineered,"100*abs(Velocity1s)/max(ContractsPerSecond,1)",ticks/100 contracts,Eficiencia de impacto del flujo.,-1,0,1,1,1
absorption_pressure_1s,engineered,"abs(Delta1s)/max(abs(Velocity1s),0.25)",contracts/tick,Agresión que no logra desplazar precio.,-1,0,1,1,1
delta_share_of_volume,engineered,"abs(Delta1s)/max(ContractsPerSecond,1)",ratio,Fracción direccional del volumen.,-1,0,1,1,1
mean_trade_size,engineered,"ContractsPerSecond/max(TradesPerSecond,1)",contracts/trade,Tamaño medio de ejecución.,-1,0,1,1,1
delta_persistence_1_3,engineered,"abs(Delta3s)/(3*max(abs(Delta1s),1))",ratio,Persistencia normalizada de agresión.,-3,0,1,1,1
delta_persistence_3_5,engineered,"3*abs(Delta5s)/(5*max(abs(Delta3s),1))",ratio,Persistencia de 3 a 5 segundos.,-5,0,1,1,1
direction_consistency,engineered,mean(sign(Delta1/3/5)==burst_sign),ratio,Consistencia temporal de agresión.,-5,0,1,1,1
velocity_consistency,engineered,mean(sign(Velocity1/3/5)==burst_sign),ratio,Consistencia temporal de desplazamiento.,-5,0,1,1,1
flow_price_alignment,engineered,sign(Delta1s)*sign(Velocity1s),"{-1,0,1}",Alineación entre agresión y precio.,-1,0,1,1,1
acceleration_velocity_ratio,engineered,"signed_acceleration/max(abs(signed_velocity),0.25)",ratio,Cambio relativo del impacto.,-2,0,1,1,1
directional_vwap_distance,engineered,burst_sign*Dist_VWAP_Ticks,ticks,Posición respecto a VWAP en dirección del burst.,-1800,0,1,1,1
directional_poc_distance,engineered,burst_sign*Dist_POC_Ticks,ticks,Posición respecto a POC en dirección del burst.,-1800,0,1,1,1
profile_confluence_4t,engineered,count(abs(dist POC/VAH/VAL/HVN/LVN)<=4),count,Confluencia de niveles cerca del burst.,-1800,0,1,1,1
burst_efficiency_score,engineered,"signed_velocity_1s/max(abs(signed_delta_1s),1)",ticks/contract,Eficiencia direccional: breakout limpio alto.,-1,0,1,1,1
liquidity_absorption_score,engineered,"absorption_pressure_1s*(1-min(abs(signed_velocity_1s)/10,1))",index,Presión alta con bajo desplazamiento.,-1,0,1,1,1
