feature,source,formula,units,interpretation,window_start_seconds,window_end_seconds,mechanism_family,coverage_old_pct,coverage_new_pct,unique_old,unique_new,forbidden_name,system_artifact,eligible
Profile_Std_Ticks,burst_events,volume-weighted profile standard deviation,ticks,Dispersión matemática del perfil.,-1800,0,AUCTION_CONTEXT,100.0,100.0,70,45,False,False,True
directional_poc_distance,engineered,burst_sign*Dist_POC_Ticks,ticks,Posición respecto a POC en dirección del burst.,-1800,0,AUCTION_CONTEXT,100.0,100.0,29,29,False,False,True
directional_vwap_distance,engineered,burst_sign*Dist_VWAP_Ticks,ticks,Posición respecto a VWAP en dirección del burst.,-1800,0,AUCTION_CONTEXT,100.0,100.0,70,45,False,False,True
profile_confluence_4t,engineered,count(abs(dist POC/VAH/VAL/HVN/LVN)<=4),count,Confluencia de niveles cerca del burst.,-1800,0,AUCTION_CONTEXT,100.0,100.0,4,3,False,False,True
Acceleration1s,burst_events,velocity1s_t-velocity1s_t-1,ticks/s2,Cambio de velocidad inmediato.,-2,0,BURST_INTENSITY,100.0,100.0,15,18,False,False,True
Acceleration3s,burst_events,velocity3s_t-velocity3s_t-1,ticks/s2,Cambio de velocidad suavizado.,-4,0,BURST_INTENSITY,100.0,100.0,18,18,False,False,True
Body_AtEntry,trade_inputs,body breakout at prediction,ticks,Desplazamiento del bar al decidir.,0,0,BURST_INTENSITY,100.0,100.0,17,19,False,False,True
BreakOut_TICKS_PER_SEC_AtEntry,trade_inputs,causal breakout speed,ticks/s,Velocidad del setup al decidir.,-60,0,BURST_INTENSITY,100.0,100.0,62,44,False,False,True
BuySellRatio,burst_events,buy_volume/sell_volume,ratio,Asimetría de agresores.,-1,0,BURST_INTENSITY,100.0,100.0,69,45,False,False,True
Buy_Imbalance_Count_AtEntry,trade_inputs,buy imbalance count,count,Desequilibrios compradores observados.,-60,0,BURST_INTENSITY,100.0,100.0,7,3,False,False,True
ContractsPerSecond,burst_events,"sum(volume,1s)",contracts/s,Intensidad de contratos.,-1,0,BURST_INTENSITY,100.0,100.0,61,44,False,False,True
CumulativeDeltaWindow,burst_events,"sum(delta,CumulativeWindowSeconds)",contracts,CVD causal del burst.,-3,0,BURST_INTENSITY,100.0,100.0,66,41,False,False,True
Cumulative_Delta_AtEntry,trade_inputs,session CVD at prediction,contracts,Régimen direccional causal.,-1800,0,BURST_INTENSITY,100.0,100.0,70,44,False,False,True
Delta10s,burst_events,"sum(delta, 10s)",contracts,Contexto pre-burst de 10 segundos.,-10,0,BURST_INTENSITY,100.0,100.0,67,42,False,False,True
Delta1s,burst_events,"sum(delta, 1s)",contracts,Agresión neta del segundo del burst.,-1,0,BURST_INTENSITY,100.0,100.0,65,43,False,False,True
Delta2s,burst_events,"sum(delta, 2s)",contracts,Persistencia corta de agresión.,-2,0,BURST_INTENSITY,100.0,100.0,66,44,False,False,True
Delta3s,burst_events,"sum(delta, 3s)",contracts,Persistencia de agresión a 3 segundos.,-3,0,BURST_INTENSITY,100.0,100.0,66,41,False,False,True
Delta5s,burst_events,"sum(delta, 5s)",contracts,Persistencia de agresión a 5 segundos.,-5,0,BURST_INTENSITY,100.0,100.0,65,41,False,False,True
DeltaChange1s,burst_events,delta_t-delta_t-1,contracts,Salto instantáneo de agresión.,-2,0,BURST_INTENSITY,100.0,100.0,66,41,False,False,True
DeltaChangeZScore,burst_events,z(delta_change; history 300s),z,Rareza del cambio frente al pasado.,-300,0,BURST_INTENSITY,100.0,100.0,70,45,False,False,True
DeltaPercentile,burst_events,percentile(|delta_change|; history),ratio,Percentil causal de actividad.,-300,0,BURST_INTENSITY,100.0,100.0,15,20,False,False,True
Delta_AtEntry,trade_inputs,bar delta at prediction,contracts,Agresión acumulada disponible.,-60,0,BURST_INTENSITY,100.0,100.0,67,45,False,False,True
Delta_Change_AtEntry,trade_inputs,delta-current minus previous,contracts,Cambio de agresión al decidir.,-120,0,BURST_INTENSITY,100.0,100.0,68,41,False,False,True
Dist_HVN_Ticks,burst_events,(price-nearest_hvn)/tick,ticks,Distancia a nodo de alto volumen.,-1800,0,BURST_INTENSITY,100.0,100.0,12,7,False,False,True
Dist_LVN_Ticks,burst_events,(price-nearest_lvn)/tick,ticks,Distancia a nodo de bajo volumen.,-1800,0,BURST_INTENSITY,100.0,100.0,6,6,False,False,True
Dist_VAH_Ticks,burst_events,(price-vah)/tick,ticks,Ubicación respecto al VAH causal.,-1800,0,BURST_INTENSITY,100.0,100.0,39,39,False,False,True
Dist_VAL_Ticks,burst_events,(price-val)/tick,ticks,Ubicación respecto al VAL causal.,-1800,0,BURST_INTENSITY,100.0,100.0,40,30,False,False,True
PeakNegativeDelta,burst_events,"min(delta_1s, 10s)",contracts,Pico vendedor causal.,-10,0,BURST_INTENSITY,100.0,100.0,57,40,False,False,True
PeakPositiveDelta,burst_events,"max(delta_1s, 10s)",contracts,Pico comprador causal.,-10,0,BURST_INTENSITY,100.0,100.0,53,38,False,False,True
PreBurst_Impulse_Decay_Slope_5s,burst_events,OLS slope of directional one-second moves,ticks/s2,Decaimiento o expansión del impulso.,-5,0,BURST_INTENSITY,100.0,100.0,20,23,False,False,True
PreBurst_Impulse_Survival_Seconds,burst_events,consecutive directional seconds ending at burst,seconds,Supervivencia causal del impulso.,-5,0,BURST_INTENSITY,100.0,100.0,6,6,False,False,True
PreBurst_Local_Entropy_10s,burst_events,"binary entropy(up,down)",bits,Complejidad de la secuencia previa.,-10,0,BURST_INTENSITY,100.0,100.0,12,12,False,False,True
PreBurst_Path_Efficiency_10s,burst_events,directional net move/absolute path,ratio,Eficiencia de trayectoria previa.,-10,0,BURST_INTENSITY,100.0,100.0,38,35,False,False,True
PreBurst_Rotation_Index_10s,burst_events,direction changes/nonzero price changes,ratio,Rotación local de la subasta.,-10,0,BURST_INTENSITY,100.0,100.0,17,17,False,False,True
PreEntry_Directional_Delta_Share3_AtEntry,trade_inputs,execution_sign*sum delta/sum volume prior 3 closed bars,ratio,Persistencia de agresión previa.,-240,-1,BURST_INTENSITY,100.0,100.0,19,12,False,False,True
PreEntry_Directional_Efficiency3_AtEntry,trade_inputs,execution_sign*net move/sum ranges of prior 3 closed bars,ratio,Eficiencia de trayectoria previa.,-240,-1,BURST_INTENSITY,100.0,100.0,38,27,False,False,True
PreEntry_Range_Compression3_AtEntry,trade_inputs,"ATR3/max(OR range,1)",ratio,Compresión o expansión previa normalizada.,-240,-1,BURST_INTENSITY,100.0,100.0,43,31,False,False,True
PreEntry_Volume_Climax_Ratio_AtEntry,trade_inputs,last closed volume/mean earlier closed volumes,ratio,Clímax de participación antes del entry.,-300,-1,BURST_INTENSITY,100.0,100.0,26,18,False,False,True
Previous_Delta_AtEntry,trade_inputs,previous closed bar delta,contracts,Agresión previa cerrada.,-120,-1,BURST_INTENSITY,100.0,100.0,66,44,False,False,True
Previous_Volume_AtEntry,trade_inputs,previous closed bar volume,contracts,Actividad previa cerrada.,-120,-1,BURST_INTENSITY,100.0,100.0,70,44,False,False,True
Realized_Volatility_10s_Ticks,burst_events,sqrt(sum(one-second return_ticks^2)),ticks,Volatilidad realizada corta previa.,-10,0,BURST_INTENSITY,100.0,100.0,47,37,False,False,True
Realized_Volatility_30s_Ticks,burst_events,sqrt(sum(one-second return_ticks^2)),ticks,Volatilidad realizada media previa.,-30,0,BURST_INTENSITY,100.0,100.0,59,39,False,False,True
Realized_Volatility_60s_Ticks,burst_events,sqrt(sum(one-second return_ticks^2)),ticks,Régimen de volatilidad previo.,-60,0,BURST_INTENSITY,100.0,100.0,63,41,False,False,True
Score_AtEntry,trade_inputs,score available at prediction,points,Confluencia causal predefinida.,-60,0,BURST_INTENSITY,100.0,100.0,7,5,False,False,True
Seconds_From_Open_AtEntry,trade_inputs,entry_ny-09:30 NY,seconds,Régimen temporal exacto al decidir.,-600,0,BURST_INTENSITY,100.0,100.0,70,45,False,False,True
Sell_Imbalance_Count_AtEntry,trade_inputs,sell imbalance count,count,Desequilibrios vendedores observados.,-60,0,BURST_INTENSITY,100.0,100.0,4,4,False,False,True
Short_Long_Volatility_Ratio,burst_events,RV10/sqrt(10) divided by RV60/sqrt(60),ratio,Expansión o compresión de volatilidad antes del burst.,-60,0,BURST_INTENSITY,100.0,100.0,70,45,False,False,True
Signed_Delta_Share_AtEntry,trade_inputs,"execution_sign*bar delta/max(bar volume,1)",ratio,Agresión del bar alineada con la ejecución.,-60,0,BURST_INTENSITY,100.0,100.0,40,28,False,False,True
Signed_Previous_Delta_Share_AtEntry,trade_inputs,"execution_sign*previous delta/max(previous volume,1)",ratio,Agresión cerrada previa alineada.,-120,-1,BURST_INTENSITY,100.0,100.0,22,19,False,False,True
TicksPerSecond,burst_events,Velocity1s,ticks/s,Impacto observado en precio.,-1,0,BURST_INTENSITY,100.0,100.0,16,21,False,False,True
TradesPerSecond,burst_events,"count(trades,1s)",trades/s,Intensidad de ejecuciones.,-1,0,BURST_INTENSITY,100.0,100.0,60,39,False,False,True
Velocity1s,burst_events,price displacement/tick/1s,ticks/s,Desplazamiento de precio por segundo.,-1,0,BURST_INTENSITY,100.0,100.0,16,21,False,False,True
Velocity3s,burst_events,price displacement/tick/3s,ticks/s,Velocidad a 3 segundos.,-3,0,BURST_INTENSITY,100.0,100.0,22,21,False,False,True
Velocity5s,burst_events,price displacement/tick/5s,ticks/s,Velocidad a 5 segundos.,-5,0,BURST_INTENSITY,100.0,100.0,26,22,False,False,True
Volume_AtEntry,trade_inputs,bar volume at prediction,contracts,Participación acumulada disponible.,-60,0,BURST_INTENSITY,100.0,100.0,68,45,False,False,True
absorption_pressure_1s,engineered,"abs(Delta1s)/max(abs(Velocity1s),0.25)",contracts/tick,Agresión que no logra desplazar precio.,-1,0,BURST_INTENSITY,100.0,100.0,66,43,False,False,True
acceleration_velocity_ratio,engineered,"signed_acceleration/max(abs(signed_velocity),0.25)",ratio,Cambio relativo del impacto.,-2,0,BURST_INTENSITY,100.0,100.0,20,24,False,False,True
burst_efficiency_score,engineered,"signed_velocity_1s/max(abs(signed_delta_1s),1)",ticks/contract,Eficiencia direccional: breakout limpio alto.,-1,0,BURST_INTENSITY,100.0,100.0,65,42,False,False,True
delta_persistence_1_3,engineered,"abs(Delta3s)/(3*max(abs(Delta1s),1))",ratio,Persistencia normalizada de agresión.,-3,0,BURST_INTENSITY,100.0,100.0,69,45,False,False,True
delta_persistence_3_5,engineered,"3*abs(Delta5s)/(5*max(abs(Delta3s),1))",ratio,Persistencia de 3 a 5 segundos.,-5,0,BURST_INTENSITY,100.0,100.0,68,45,False,False,True
delta_share_of_volume,engineered,"abs(Delta1s)/max(ContractsPerSecond,1)",ratio,Fracción direccional del volumen.,-1,0,BURST_INTENSITY,100.0,100.0,68,45,False,False,True
liquidity_absorption_score,engineered,"absorption_pressure_1s*(1-min(abs(signed_velocity_1s)/10,1))",index,Presión alta con bajo desplazamiento.,-1,0,BURST_INTENSITY,100.0,100.0,66,40,False,False,True
mean_trade_size,engineered,"ContractsPerSecond/max(TradesPerSecond,1)",contracts/trade,Tamaño medio de ejecución.,-1,0,BURST_INTENSITY,100.0,100.0,70,45,False,False,True
price_impact_per_100_contracts,engineered,"100*abs(Velocity1s)/max(ContractsPerSecond,1)",ticks/100 contracts,Eficiencia de impacto del flujo.,-1,0,BURST_INTENSITY,100.0,100.0,68,44,False,False,True
range,trade_inputs,OR range at prediction,ticks,Régimen de apertura al decidir.,0,0,BURST_INTENSITY,100.0,100.0,27,29,False,False,True
signed_acceleration_1s,engineered,burst_sign*Acceleration1s,ticks/s2,Aceleración dirigida del precio.,-2,0,BURST_INTENSITY,100.0,100.0,12,14,False,False,True
signed_delta_1s,engineered,burst_sign*Delta1s,contracts,Agresión en dirección del burst.,-1,0,BURST_INTENSITY,100.0,100.0,56,41,False,False,True
signed_delta_change_1s,engineered,burst_sign*DeltaChange1s,contracts,Aceleración de agresión dirigida.,-2,0,BURST_INTENSITY,100.0,100.0,60,35,False,False,True
signed_velocity_1s,engineered,burst_sign*Velocity1s,ticks/s,Velocidad en dirección del burst.,-1,0,BURST_INTENSITY,100.0,100.0,10,13,False,False,True
signed_velocity_3s,engineered,burst_sign*Velocity3s,ticks/s,Persistencia de velocidad dirigida.,-3,0,BURST_INTENSITY,100.0,100.0,13,14,False,False,True
Pre_Approach_Distance_Ticks,burst_events,side_sign*(level-price_start_5s)/tick,ticks,Distancia recorrida antes del cruce.,-5,0,CROSSING_ANATOMY,100.0,100.0,30,29,False,False,True
Pre_Approach_Pause_Seconds,burst_events,count one-second buckets with movement <1 tick,seconds,Pausa o compresión inmediatamente antes del cruce.,-5,0,CROSSING_ANATOMY,100.0,100.0,5,5,False,False,True
Pre_Approach_Velocity_TPS,burst_events,directional displacement/observed seconds,ticks/s,Velocidad de aproximación al nivel.,-5,0,CROSSING_ANATOMY,100.0,100.0,18,16,False,False,True
PreBurst_Price_Per_Delta_3s,burst_events,directional ticks/abs(delta),ticks/contract,Resultado de precio por agresión.,-3,0,EFFORT_RESULT,100.0,100.0,70,45,False,False,True
PreBurst_Price_Per_Volume_3s,burst_events,directional ticks/volume,ticks/contract,Resultado de precio por volumen.,-3,0,EFFORT_RESULT,100.0,100.0,70,45,False,False,True
Delta_Retention_1_3,burst_events,"delta[1,3]/abs(delta[0,1])",ratio,Persistencia de agresión sin solapamiento.,-3,0,FLOW_PERSISTENCE,100.0,100.0,69,45,False,False,True
Delta_Retention_3_5,burst_events,"delta[3,5]/abs(delta[1,3])",ratio,Extinción previa de agresión.,-5,-1,FLOW_PERSISTENCE,97.14285714285714,97.77777777777777,65,44,False,False,True
Flow_0_1_CounterflowShare,burst_events,"contra_volume/gross_volume [0,1]s",ratio,Conflicto agresivo oculto por el delta neto.,-1,0,FLOW_PERSISTENCE,100.0,100.0,68,45,False,False,True
Flow_0_1_DirectionalNetDelta,burst_events,"side_sign*(buy-sell), segment [0,1]s",contracts,Agresión neta inmediata sin ventanas superpuestas.,-1,0,FLOW_PERSISTENCE,100.0,100.0,56,41,False,False,True
Flow_0_1_DirectionalVelocityTPS,burst_events,"directional ticks/[0,1]s",ticks/s,Resultado de precio inmediato.,-1,0,FLOW_PERSISTENCE,100.0,100.0,11,13,False,False,True
Flow_0_1_GrossAggressive,burst_events,"raw_buy+raw_sell [0,1]s",contracts,Esfuerzo agresivo bruto inmediato.,-1,0,FLOW_PERSISTENCE,100.0,100.0,61,44,False,False,True
Flow_0_1_TicksPerAggressiveContract,burst_events,directional_ticks/gross_aggressive,ticks/contract,Esfuerzo versus resultado con denominador auditable.,-1,0,FLOW_PERSISTENCE,100.0,100.0,67,44,False,False,True
Flow_1_3_CounterflowShare,burst_events,"contra_volume/gross_volume [1,3]s",ratio,Contra-agresión previa al burst.,-3,-1,FLOW_PERSISTENCE,100.0,100.0,69,45,False,False,True
Flow_1_3_DirectionalNetDelta,burst_events,"side_sign*(buy-sell), segment [1,3]s",contracts,Persistencia previa independiente del segundo del burst.,-3,-1,FLOW_PERSISTENCE,100.0,100.0,52,31,False,False,True
Flow_1_3_DirectionalVelocityTPS,burst_events,"directional ticks/2s [1,3]",ticks/s,Persistencia de desplazamiento no superpuesta.,-3,-1,FLOW_PERSISTENCE,100.0,100.0,8,9,False,False,True
Flow_1_3_GrossAggressive,burst_events,"raw_buy+raw_sell [1,3]s",contracts,Esfuerzo bruto previo independiente.,-3,-1,FLOW_PERSISTENCE,100.0,100.0,64,42,False,False,True
Flow_3_5_CounterflowShare,burst_events,"contra_volume/gross_volume [3,5]s",ratio,Contra-agresión del contexto inmediato.,-5,-3,FLOW_PERSISTENCE,100.0,100.0,67,45,False,False,True
Flow_3_5_DirectionalNetDelta,burst_events,"side_sign*(buy-sell), segment [3,5]s",contracts,Régimen de flujo anterior no superpuesto.,-5,-3,FLOW_PERSISTENCE,100.0,100.0,52,30,False,False,True
Flow_3_5_DirectionalVelocityTPS,burst_events,"directional ticks/2s [3,5]",ticks/s,Desplazamiento anterior independiente.,-5,-3,FLOW_PERSISTENCE,100.0,100.0,12,11,False,False,True
Flow_3_5_GrossAggressive,burst_events,"raw_buy+raw_sell [3,5]s",contracts,Esfuerzo bruto de contexto.,-5,-3,FLOW_PERSISTENCE,100.0,100.0,58,37,False,False,True
Flow_Aligned_Segment_Count,burst_events,count non-overlap segments with directional delta and price >0,count,Alineación multihorizonte del esfuerzo y resultado.,-5,0,FLOW_PERSISTENCE,100.0,100.0,3,3,False,False,True
Flow_Conflict_Segment_Count,burst_events,count segments where delta and price have opposite signs,count,Conflicto multihorizonte compatible con absorción.,-5,0,FLOW_PERSISTENCE,100.0,100.0,3,3,False,False,True
Velocity_Retention_1_3,burst_events,"velocity[1,3]/abs(velocity[0,1])",ratio,Persistencia de velocidad sin solapamiento.,-3,0,FLOW_PERSISTENCE,97.14285714285714,95.55555555555556,23,23,False,False,True
Velocity_Retention_3_5,burst_events,"velocity[3,5]/abs(velocity[1,3])",ratio,Extinción o continuación del impulso.,-5,-1,FLOW_PERSISTENCE,80.0,88.88888888888889,20,17,False,False,True
Nearest_OR_Edge_Retest_Count_AtEntry,trade_inputs,closed bars touching nearest OR edge before entry,count,Desgaste causal del nivel por retests.,-600,-1,LEVEL_MEMORY,100.0,100.0,6,5,False,False,True
Prior_Full_Crosses_60s,burst_events,count complete side changes across frozen level,count,Chop frente a nivel fresco.,-60,0,LEVEL_MEMORY,100.0,100.0,10,8,False,False,True
Prior_Level_Touches_60s,burst_events,count(seconds touching fixed 1-tick level band),count,Memoria y desgaste del nivel antes del burst.,-60,0,LEVEL_MEMORY,100.0,100.0,26,24,False,False,True
Prior_Volume_At_Level_Band_60s,burst_events,sum volume in fixed 1-tick level band,contracts,Esfuerzo acumulado negociado en el nivel.,-60,0,LEVEL_MEMORY,100.0,100.0,64,38,False,False,True
PreEntry_Acceptance_Dwell_Ratio_AtEntry,trade_inputs,time beyond broken OR edge/time since first break,ratio,Aceptación causal antes de la entrada.,-60,0,ACCEPTANCE_REJECTION,100.0,100.0,1,1,False,False,False
PreEntry_Reclaim_Count_AtEntry,trade_inputs,accepted-to-reclaimed crossings before signal,count,Número de reclaims antes de entrar.,-60,0,ACCEPTANCE_REJECTION,100.0,100.0,1,1,False,False,False
PreEntry_Rejection_Speed_TPS_AtEntry,trade_inputs,max adverse ticks inside level/time since break,ticks/s,Velocidad causal de rechazo.,-60,0,ACCEPTANCE_REJECTION,100.0,100.0,1,1,False,False,False
Detector_Publish_Delay_Milliseconds,trade_inputs,detector publish timestamp-nominal second-close availability,milliseconds,Diagnóstico de scheduling y jitter del detector; no es predictor económico.,0,0,AUCTION_CONTEXT,100.0,100.0,59,44,False,True,False
GapFill_Seconds_60,burst_events,count synthetic carry-forward gap buckets,count,"Advertencia de datos irregulares, no señal de mercado.",-60,0,AUCTION_CONTEXT,100.0,100.0,1,2,False,False,False
POC_Migration_Ticks,burst_events,current POC-prior emitted POC,ticks,Migración causal del centro de valor.,-1800,0,AUCTION_CONTEXT,5.714285714285714,0.0,3,0,False,False,False
Directional_CLV_AtEntry,trade_inputs,execution_sign*(2*entry-causal_high-causal_low)/(causal_high-causal_low),ratio,CLV construido sólo con precios observados hasta la señal.,-60,0,BURST_INTENSITY,0.0,0.0,0,0,False,False,False
Observation_Coverage_60,burst_events,observed one-second buckets/60,ratio,Calidad y completitud causal del stream.,-60,0,BURST_INTENSITY,100.0,100.0,1,1,False,False,False
PreEntry_Local_Entropy_AtEntry,trade_inputs,"binary entropy(up,down)",bits,Complejidad local de la secuencia.,-60,0,BURST_INTENSITY,100.0,100.0,1,1,False,False,False
PreEntry_Path_Efficiency_AtEntry,trade_inputs,directional net move/absolute observed path,ratio,Eficiencia direccional de trayectoria.,-60,0,BURST_INTENSITY,100.0,100.0,1,1,False,False,False
PreEntry_Rotation_Index_AtEntry,trade_inputs,direction changes/nonzero observed price changes,ratio,Rotación de la secuencia observada.,-60,0,BURST_INTENSITY,100.0,100.0,1,1,False,False,False
direction_consistency,engineered,mean(sign(Delta1/3/5)==burst_sign),ratio,Consistencia temporal de agresión.,-5,0,BURST_INTENSITY,100.0,100.0,1,1,False,False,False
velocity_consistency,engineered,mean(sign(Velocity1/3/5)==burst_sign),ratio,Consistencia temporal de desplazamiento.,-5,0,BURST_INTENSITY,100.0,100.0,2,3,False,False,False
PreEntry_Price_Per_Delta_AtEntry,trade_inputs,directional ticks/abs(entry delta),ticks/contract,Resultado por unidad de agresión.,-60,0,EFFORT_RESULT,100.0,100.0,1,1,False,False,False
PreEntry_Price_Per_Volume_AtEntry,trade_inputs,directional ticks/entry volume,ticks/contract,Resultado por unidad de volumen.,-60,0,EFFORT_RESULT,100.0,100.0,1,1,False,False,False
Burst_Index_In_Episode,burst_events,ordinal burst within 30s episode,count,Dependencia entre eventos del mismo episodio.,-30,0,EVENT_DEPENDENCE,100.0,100.0,1,1,False,False,False
Liquidity_Burst_Index_In_Episode,trade_inputs,ordinal burst in frozen 30s episode,count,Dependencia del evento que originó la entrada.,-30,0,EVENT_DEPENDENCE,100.0,100.0,1,1,False,False,False
Liquidity_Burst_Seconds_Since_Prior_Burst,trade_inputs,seconds from previous burst,seconds,Frescura causal del evento.,-300,0,EVENT_DEPENDENCE,5.714285714285714,0.0,3,0,False,False,False
Seconds_Since_Prior_Burst,burst_events,timestamp-current minus prior burst,seconds,Separación temporal entre eventos correlacionados.,-300,0,EVENT_DEPENDENCE,5.714285714285714,0.0,3,0,False,False,False
Detector_Publish_To_Entry_Latency_Milliseconds,trade_inputs,entry timestamp-detector publish timestamp,milliseconds,Audita que la entrada no preceda a la publicación efectiva.,0,0,EXECUTION_QUALITY,100.0,100.0,66,45,False,True,False
Signal_To_Entry_Latency_Milliseconds,trade_inputs,entry timestamp-burst availability timestamp,milliseconds,Demora causal entre disponibilidad y entrada simulada.,0,0,EXECUTION_QUALITY,100.0,100.0,64,45,False,True,False
flow_price_alignment,engineered,sign(Delta1s)*sign(Velocity1s),"{-1,0,1}",Alineación entre agresión y precio.,-1,0,FLOW_PERSISTENCE,100.0,100.0,2,2,False,False,False
Time_Since_Last_Prior_Level_Touch_Seconds,burst_events,seconds since last prior touch of frozen level band,seconds,Frescura del nivel sin contar el burst actual.,-60,0,LEVEL_MEMORY,84.28571428571429,77.77777777777779,18,17,False,False,False
